date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:37	24/24	---M--	200	added ('OK')	text/plain	etag:%223907cd0-18-52676e2c34e00%22	https://www.lac-info.com/robots.txt		(from )
15:44:43	123984/123984	---MC-	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202016%2008:44:29%20GMT	https://www.lac-info.com/	C:/xampp/htdocs/long/long/www.lac-info.com/index.html	(from )
15:44:48	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Aug%202016%2008:44:40%20GMT	https://www.lac-info.com/index.php	C:/xampp/htdocs/long/long/www.lac-info.com/index.1.delayed	(from https://www.lac-info.com/)
15:44:48	0/-1	---M--	301	error ('')			https://www.lac-info.com/index.php	C:/xampp/htdocs/long/long/www.lac-info.com/index.2.delayed	(from https://www.lac-info.com/)
15:44:49	24122/24122	---M--	200	added ('OK')	application/javascript	etag:%2251a1f0e-5e3a-527183ad095c0%22	https://www.lac-info.com/js/vendor/webtrends.min.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/webtrends.min.js	(from https://www.lac-info.com/)
15:44:49	90514/90514	---M--	200	added ('OK')	image/jpeg	etag:%2251a1ed0-16192-52665b46abe00%22	https://www.lac-info.com/img/social-sharing/V-1.jpg	C:/xampp/htdocs/long/long/www.lac-info.com/img/social-sharing/V-1.jpg	(from https://www.lac-info.com/)
15:44:50	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2251a04bf-3aee-51d835e71f080%22	https://www.lac-info.com/favicon.ico	C:/xampp/htdocs/long/long/www.lac-info.com/favicon.ico	(from https://www.lac-info.com/)
15:44:51	8587/8587	---M--	200	added ('OK')	application/javascript	etag:%2251a1f09-218b-527183a938cc0%22	https://www.lac-info.com/js/vendor/modernizr.min.js	C:/xampp/htdocs/long/long/www.lac-info.com/js/vendor/modernizr.min.js	(from https://www.lac-info.com/)
15:44:52	13210/13210	---M--	200	added ('OK')	image/png	etag:%2251a1eda-339a-52665b47a0040%22	https://www.lac-info.com/img/teaser/stage-a-label.png	C:/xampp/htdocs/long/long/www.lac-info.com/img/teaser/stage-a-label.png	(from https://www.lac-info.com/)
15:44:53	4758/4758	---M--	200	added ('OK')	image/png	etag:%2251a1ebd-1296-52665b40f3080%22	https://www.lac-info.com/img/final/intrauterine_system.png	C:/xampp/htdocs/long/long/www.lac-info.com/img/final/intrauterine_system.png	(from https://www.lac-info.com/)
15:44:54	7995/7995	---M--	200	added ('OK')	image/png	etag:%2251a1ebf-1f3b-52665b40f3080%22	https://www.lac-info.com/img/final/the-pill.png	C:/xampp/htdocs/long/long/www.lac-info.com/img/final/the-pill.png	(from https://www.lac-info.com/)
15:44:55	6526/6526	---M--	200	added ('OK')	image/png	etag:%2251a1ebb-197e-52665b40f3080%22	https://www.lac-info.com/img/final/intrauterine_device.png	C:/xampp/htdocs/long/long/www.lac-info.com/img/final/intrauterine_device.png	(from https://www.lac-info.com/)
15:44:56	3875/3875	---M--	200	added ('OK')	image/png	etag:%2251a1e89-f23-52665b3a460c0%22	https://www.lac-info.com/img/final/contraceptive_implant.png	C:/xampp/htdocs/long/long/www.lac-info.com/img/final/contraceptive_implant.png	(from https://www.lac-info.com/)
15:44:57	272373/272373	---M--	200	added ('OK')	text/css	etag:%2251a04f3-427f5-5353b2afb2d00%22	https://www.lac-info.com/css/main.css	C:/xampp/htdocs/long/long/www.lac-info.com/css/main.css	(from https://www.lac-info.com/)
15:44:57	2453/2453	---M--	200	added ('OK')	image/png	etag:%2251a1ea5-995-52665b3e169c0%22	https://www.lac-info.com/img/final/ico-period-pill.png	C:/xampp/htdocs/long/long/www.lac-info.com/img/final/ico-period-pill.png	(from https://www.lac-info.com/)
